province,Y-W,newcases,newcases_tminus1,newcases_tminus2,newcases_tminus3,newcases_tminus4,newcases_tplus1,newcases_tplus2,newcases_tplus4,spc_tminus1,spc_tminus2,spc_tminus3,spc_tminus4,temp_min_tminus1,temp_min_tminus2,temp_min_tminus3,temp_min_tminus4,temp_max_tminus1,temp_max_tminus2,temp_max_tminus3,temp_max_tminus4,retail_tminus1,retail_tminus2,retail_tminus3,retail_tminus4,grocery_tminus1,grocery_tminus2,grocery_tminus3,grocery_tminus4,parks_tminus1,parks_tminus2,parks_tminus3,parks_tminus4,transit_tminus1,transit_tminus2,transit_tminus3,transit_tminus4,workplaces_tminus1,workplaces_tminus2,workplaces_tminus3,workplaces_tminus4,residential_tminus1,residential_tminus2,residential_tminus3,residential_tminus4,2019employment_rate,2019intermunicipal_migration_rate,2019annual_contrib_margin,2019share_age_64,2019number_workplaces,Subdivision Name (en)
Kymenlaakso,2020-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2934578865797355,0.2386272868179018,0.3260657906143301,0.3828858201080555,0.9571428571428572,0.6142857142857144,-1.3428571428571427,-1.3142857142857145,12.242857142857144,8.085714285714285,7.071428571428571,4.971428571428571,-28.714285714285715,-37.85714285714285,-37.285714285714285,-42.71428571428572,2.0,-5.285714285714286,-7.714285714285714,-10.428571428571429,65.14285714285714,73.71428571428571,59.71428571428572,57.85714285714285,-51.0,-55.85714285714285,-56.0,-58.71428571428572,-26.142857142857142,-37.0,-31.0,-32.714285714285715,6.571428571428571,9.285714285714286,8.857142857142858,10.857142857142858,67.9,-1286,175.6,28.0,61440,Kymenlaakso
Lapland,2020-20,0.0,0.4485521041367099,0.5183482721934732,0.7301933407821827,1.1295808994937055,0.0,0.0,0.0,0.18810427356418,0.1609851530097089,0.2357454102853364,0.2472515760591122,1.8857142857142857,0.5857142857142856,0.2857142857142857,1.1428571428571428,8.985714285714286,8.728571428571428,8.342857142857143,7.728571428571429,-44.285714285714285,-50.85714285714285,-52.57142857142857,-55.57142857142857,-16.142857142857142,-20.714285714285715,-22.571428571428573,-23.571428571428573,-27.857142857142858,-5.714285714285714,-19.428571428571427,-13.285714285714286,-64.57142857142857,-66.71428571428571,-66.85714285714286,-67.85714285714286,-36.0,-45.0,-40.57142857142857,-42.57142857142857,10.0,10.857142857142858,11.714285714285714,12.714285714285714,70.3,-968,-0.3,25.3,71925,Lapland
Pirkanmaa,2020-20,0.10863485354840435,0.0913289524227428,0.1750104891467941,0.1750104891467941,0.12564634820685963,0.0,0.0,0.0,0.2535803074754918,0.2019092955734508,0.2946346296480864,0.3708186120367424,0.4142857142857142,1.7571428571428571,-0.6,0.4571428571428572,13.742857142857144,9.971428571428572,10.171428571428573,8.142857142857142,-36.57142857142857,-41.85714285714285,-42.0,-43.57142857142857,-3.7142857142857135,-10.571428571428571,-11.714285714285714,-13.571428571428571,99.42857142857144,97.0,93.14285714285714,51.0,-45.85714285714285,-51.42857142857143,-51.285714285714285,-52.42857142857143,-35.857142857142854,-44.85714285714285,-39.42857142857143,-41.285714285714285,10.142857142857142,12.571428571428571,12.142857142857142,14.428571428571429,71.4,1886,305.6,21.8,217811,Pirkanmaa
Ostrobothnia,2020-20,0.0,0.0,0.0,0.0,0.3351452949615398,0.0,0.0,0.0,0.2301152256276112,0.1827469357649352,0.2320133361152904,0.2832520141154477,2.8285714285714287,2.257142857142857,1.4,0.6857142857142857,13.914285714285716,10.157142857142857,9.585714285714284,7.1571428571428575,-31.142857142857142,-35.0,-34.285714285714285,-38.0,1.0,-2.857142857142857,-6.285714285714286,-8.857142857142858,-1.2857142857142858,21.285714285714285,15.0,16.285714285714285,-37.85714285714285,-41.142857142857146,-38.42857142857143,-47.57142857142857,-30.428571428571427,-39.285714285714285,-34.857142857142854,-36.142857142857146,7.857142857142857,9.571428571428571,9.428571428571429,11.428571428571429,76.7,-986,275.3,23.0,78711,Ostrobothnia
North Karelia,2020-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1999839747789837,0.1771701628702585,0.244354388233653,0.3200945028067619,1.3142857142857145,1.4285714285714286,0.4857142857142857,1.6285714285714286,11.528571428571428,10.042857142857144,10.385714285714286,7.3428571428571425,-30.428571428571427,-40.42857142857143,-42.285714285714285,-43.71428571428572,-1.2857142857142858,-7.571428571428571,-11.857142857142858,-14.428571428571429,34.142857142857146,14.571428571428571,9.142857142857142,4.142857142857143,-21.857142857142858,-21.285714285714285,-27.571428571428573,-19.0,-31.0,-40.142857142857146,-36.0,-36.57142857142857,6.714285714285714,8.285714285714286,8.571428571428571,9.428571428571429,64.8,-636,345.7,26.5,60515,North Karelia
Northern Ostrobothnia,2020-20,0.0,0.0,0.0,0.11406284430739377,0.0,0.0,0.0,0.0,0.24523416215023,0.2459635098435514,0.3454601861299907,0.5164388194054249,3.9,1.5571428571428572,1.8,0.1714285714285714,14.585714285714284,9.8,8.342857142857143,5.785714285714286,-30.857142857142858,-38.0,-39.142857142857146,-41.57142857142857,-6.428571428571429,-9.571428571428571,-14.0,-15.714285714285714,55.85714285714285,72.28571428571429,47.42857142857143,39.0,-41.142857142857146,-46.142857142857146,-48.142857142857146,-51.142857142857146,-36.285714285714285,-44.57142857142857,-40.42857142857143,-42.42857142857143,10.571428571428571,11.857142857142858,12.428571428571429,13.714285714285714,69.5,-862,185.0,19.6,164619,Northern Ostrobothnia
Northern Savonia,2020-20,0.0,0.0,0.0,0.0,0.24838764502345526,0.0,0.0,0.0,0.1766848575888128,0.1564392808971597,0.2274634651019731,0.2725269496991018,-0.5142857142857142,0.3142857142857141,-1.8000000000000005,0.0285714285714285,10.257142857142856,9.057142857142855,8.985714285714286,6.871428571428572,-31.571428571428573,-39.0,-40.285714285714285,-44.285714285714285,-2.2857142857142856,-8.0,-11.571428571428571,-12.285714285714286,79.14285714285714,58.85714285714285,46.57142857142857,37.85714285714285,-40.0,-40.0,-45.42857142857143,-46.71428571428572,-31.714285714285715,-41.285714285714285,-35.857142857142854,-37.285714285714285,8.0,10.142857142857142,10.857142857142858,12.142857142857142,69.5,-543,162.0,25.3,98975,Northern Savonia
Päijänne Tavastia,2020-20,0.3284268908258033,0.4282533673701122,0.0,0.21751861293527897,0.3284268908258033,0.0,0.0,0.0,0.2639714544132308,0.2500216052036383,0.3324728676988322,0.3719417957874971,-0.6285714285714287,-0.5142857142857143,-1.242857142857143,-1.3,14.3,9.842857142857143,9.514285714285714,6.585714285714286,-29.714285714285715,-37.142857142857146,-37.285714285714285,-42.0,-3.142857142857143,-8.285714285714286,-10.142857142857142,-13.428571428571429,0.0,24.571428571428573,14.428571428571429,9.285714285714286,-36.42857142857143,-44.142857142857146,-43.142857142857146,-47.285714285714285,-32.0,-41.142857142857146,-36.0,-37.85714285714285,7.714285714285714,10.285714285714286,9.714285714285714,12.142857142857142,69.5,-591,222.7,26.7,77081,Päijänne Tavastia
Satakunta,2020-20,0.0,0.0,0.0,0.0,0.20872736406899106,0.0,0.0,0.0,0.2588441056288708,0.2456095847075962,0.3067720201314071,0.3989890509926413,1.6857142857142855,2.3857142857142857,0.9285714285714284,1.7571428571428571,13.0,9.971428571428572,11.857142857142858,8.6,-24.714285714285715,-32.0,-32.285714285714285,-37.42857142857143,1.2857142857142858,-3.857142857142857,-6.285714285714286,-9.857142857142858,22.428571428571427,33.142857142857146,31.857142857142858,33.0,-24.714285714285715,-31.142857142857142,-32.57142857142857,-38.42857142857143,-26.285714285714285,-36.85714285714285,-30.285714285714285,-31.857142857142858,7.285714285714286,9.428571428571429,9.0,11.0,71.2,-1141,63.9,27.2,86401,Satakunta
Uusimaa,2020-20,1.0575792807298048,1.3522393477148014,1.3747706785642633,1.4976127096515046,1.5028533462337805,0.644197225909824,0.5054837740066191,0.16726386789876763,0.1253322220061177,0.0755185091893637,0.1501341367153567,0.2425220875816147,0.8857142857142856,1.7142857142857142,0.9142857142857144,0.5857142857142856,14.014285714285714,10.457142857142856,10.342857142857143,8.057142857142857,-36.85714285714285,-45.42857142857143,-43.42857142857143,-45.42857142857143,-8.285714285714286,-14.571428571428571,-14.285714285714286,-13.857142857142858,91.28571428571428,61.57142857142857,76.14285714285714,37.0,-53.85714285714285,-59.85714285714285,-58.57142857142857,-61.71428571428572,-40.285714285714285,-49.42857142857143,-45.0,-46.85714285714285,12.0,14.0,14.142857142857142,17.0,75.2,8144,601.0,17.6,836622,Uusimaa
Southwest Finland,2020-20,0.1713899828920023,0.2057929229609363,0.33266479565779666,0.28695320736319047,0.6048101989246633,0.25527506760206736,0.13576118211790403,0.0,0.2887209927465798,0.2522284737613336,0.3397555781502813,0.4056378833356045,3.857142857142857,3.3857142857142857,2.5571428571428574,1.8285714285714287,13.6,8.814285714285715,11.342857142857143,8.857142857142858,-30.428571428571427,-39.42857142857143,-37.285714285714285,-41.0,-3.571428571428572,-9.142857142857142,-10.857142857142858,-12.285714285714286,107.14285714285714,95.85714285714286,108.0,59.85714285714285,-39.57142857142857,-46.71428571428572,-44.85714285714285,-45.71428571428572,-31.285714285714285,-41.71428571428572,-35.714285714285715,-37.285714285714285,8.857142857142858,11.857142857142858,10.857142857142858,13.0,72.4,887,74.1,23.3,202061,Southwest Finland
South Karelia,2020-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1335066416161102,0.2210448262742509,0.1909937281344357,0.2599517207426725,-1.6,-2.585714285714286,-2.0285714285714285,-2.2857142857142856,8.885714285714286,12.614285714285714,9.328571428571427,9.1,-34.142857142857146,-34.285714285714285,-42.0,-42.42857142857143,-7.0,-3.571428571428572,-9.428571428571429,-12.857142857142858,9.285714285714286,0.0,0.0,13.0,-46.142857142857146,-41.142857142857146,-47.42857142857143,-49.85714285714285,-27.857142857142858,-32.42857142857143,-42.142857142857146,-37.285714285714285,6.0,6.714285714285714,8.428571428571429,8.0,67.4,-488,387.3,27.4,47995,South Karelia
Southern Ostrobothnia,2020-21,0.0,0.0,0.23128105183838518,0.0,0.0,0.0,0.0,0.0,0.0945996706387005,0.1635097375191967,0.1595955633467479,0.226943681412428,-1.957142857142857,-1.1714285714285717,-1.0285714285714285,-3.2285714285714286,8.385714285714286,8.657142857142857,8.585714285714285,7.542857142857143,-27.571428571428573,-29.142857142857142,-34.57142857142857,-35.857142857142854,-5.285714285714286,-3.7142857142857135,-6.571428571428571,-11.0,23.857142857142858,11.285714285714286,24.714285714285715,15.0,-27.285714285714285,-34.42857142857143,-37.85714285714285,-38.57142857142857,-20.857142857142858,-28.571428571428573,-37.57142857142857,-30.857142857142858,7.0,8.285714285714286,10.285714285714286,9.285714285714286,73.8,-935,123.6,25.4,77419,Southern Ostrobothnia
Southern Savonia,2020-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1188078056556151,0.1994379002500231,0.164755740816441,0.241135533989337,-0.2714285714285714,0.2571428571428571,-0.4285714285714285,-1.3714285714285714,8.385714285714286,8.014285714285714,7.242857142857143,5.514285714285714,-32.857142857142854,-29.714285714285715,-38.142857142857146,-40.0,1.4285714285714286,5.714285714285714,-0.8571428571428571,-7.571428571428571,52.142857142857146,44.42857142857143,46.0,58.0,-45.285714285714285,-43.285714285714285,-46.42857142857143,-48.285714285714285,-21.857142857142858,-26.714285714285715,-36.57142857142857,-31.571428571428573,5.428571428571429,5.857142857142857,7.571428571428571,7.142857142857143,68.9,-1228,143.5,30.9,50145,Southern Savonia
Kainuu,2020-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0884243269859818,0.1864169974576036,0.1697471996542597,0.2551869149412391,-0.0714285714285714,1.6714285714285713,0.7857142857142858,-0.5142857142857143,10.014285714285714,14.828571428571427,10.257142857142856,10.228571428571428,-35.285714285714285,-30.571428571428573,-38.142857142857146,-38.85714285714285,-8.857142857142858,-8.428571428571429,-13.857142857142858,-17.428571428571427,11.0,0.4285714285714285,3.0,7.285714285714286,-38.57142857142857,-46.57142857142857,-50.0,-45.142857142857146,-26.285714285714285,-32.142857142857146,-42.42857142857143,-34.714285714285715,5.714285714285714,7.142857142857143,5.428571428571429,8.142857142857142,68.3,-462,857.2,28.5,27218,Kainuu
Tavastia Proper,2020-21,0.0,0.0,0.25706003259737836,0.0,0.25706003259737836,0.0,0.0,0.0,0.211630169842877,0.320771494974566,0.2957028256927774,0.370730234978501,-2.2,-1.2285714285714284,-2.414285714285714,-2.571428571428572,6.942857142857143,5.728571428571429,3.928571428571429,3.2857142857142856,-27.285714285714285,-24.714285714285715,-33.0,-33.0,-2.2857142857142856,1.4285714285714286,-3.571428571428572,-6.714285714285714,21.571428571428573,15.714285714285714,30.142857142857142,23.571428571428573,-44.85714285714285,-42.42857142857143,-48.85714285714285,-49.85714285714285,-24.0,-29.0,-39.0,-34.142857142857146,8.285714285714286,8.142857142857142,10.571428571428571,9.428571428571429,73.1,-69,197.5,25.3,64199,Tavastia Proper
Central Ostrobothnia,2020-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0786985146461968,0.1765921583203414,0.144069391618352,0.213980927825032,-0.8571428571428571,0.0285714285714285,-0.9714285714285714,-2.7857142857142856,9.142857142857142,13.0,7.6571428571428575,6.571428571428571,-17.428571428571427,-23.142857142857142,-24.571428571428573,-29.857142857142858,1.5714285714285714,1.7142857142857142,-1.7142857142857142,-6.142857142857143,0.0,0.0,0.0,0.0,-12.857142857142858,-19.285714285714285,-18.142857142857142,-21.571428571428573,-22.0,-28.142857142857142,-37.57142857142857,-30.857142857142858,4.714285714285714,6.571428571428571,5.285714285714286,8.0,74.3,-450,189.5,23.4,28177,Central Ostrobothnia
Central Finland,2020-21,0.0,0.0,0.0,0.0,0.22854532545392597,0.0,0.0,0.0,0.124051011821389,0.2276175813413256,0.1922897150464672,0.2554478326140925,-2.3714285714285714,-0.9714285714285714,-1.3142857142857145,-2.071428571428572,8.985714285714286,8.128571428571428,5.8,5.371428571428572,-30.142857142857142,-29.714285714285715,-35.714285714285715,-36.42857142857143,-6.428571428571429,-5.0,-9.0,-12.428571428571429,85.14285714285714,86.85714285714286,95.14285714285714,75.42857142857143,-53.71428571428572,-50.85714285714285,-53.71428571428572,-57.285714285714285,-28.571428571428573,-34.285714285714285,-42.71428571428572,-38.285714285714285,8.142857142857142,9.285714285714286,11.0,11.142857142857142,68.0,-262,94.5,23.2,106637,Central Finland
Kymenlaakso,2020-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1847888589260318,0.2934578865797355,0.2386272868179018,0.3260657906143301,0.6142857142857142,0.9571428571428572,0.6142857142857144,-1.3428571428571427,8.685714285714285,12.242857142857144,8.085714285714285,7.071428571428571,-32.285714285714285,-28.714285714285715,-37.85714285714285,-37.285714285714285,-1.5714285714285714,2.0,-5.285714285714286,-7.714285714285714,67.14285714285714,65.14285714285714,73.71428571428571,59.71428571428572,-51.0,-51.0,-55.85714285714285,-56.0,-21.142857142857142,-26.142857142857142,-37.0,-31.0,7.0,6.571428571428571,9.285714285714286,8.857142857142858,67.9,-1286,175.6,28.0,61440,Kymenlaakso
Lapland,2020-21,0.0,0.0,0.4485521041367099,0.5183482721934732,0.7301933407821827,0.0,0.0,0.0,0.1172215212184649,0.18810427356418,0.1609851530097089,0.2357454102853364,0.5428571428571429,1.8857142857142857,0.5857142857142856,0.2857142857142857,8.428571428571429,8.985714285714286,8.728571428571428,8.342857142857143,-42.285714285714285,-44.285714285714285,-50.85714285714285,-52.57142857142857,-16.285714285714285,-16.142857142857142,-20.714285714285715,-22.571428571428573,-23.571428571428573,-27.857142857142858,-5.714285714285714,-19.428571428571427,-63.142857142857146,-64.57142857142857,-66.71428571428571,-66.85714285714286,-30.571428571428573,-36.0,-45.0,-40.57142857142857,8.142857142857142,10.0,10.857142857142858,11.714285714285714,70.3,-968,-0.3,25.3,71925,Lapland
Pirkanmaa,2020-21,0.0,0.10863485354840435,0.0913289524227428,0.1750104891467941,0.1750104891467941,0.0,0.0,0.0,0.1288282182317403,0.2535803074754918,0.2019092955734508,0.2946346296480864,-1.3571428571428572,0.4142857142857142,1.7571428571428571,-0.6,9.542857142857144,13.742857142857144,9.971428571428572,10.171428571428573,-36.71428571428572,-36.57142857142857,-41.85714285714285,-42.0,-3.571428571428572,-3.7142857142857135,-10.571428571428571,-11.714285714285714,90.57142857142856,99.42857142857144,97.0,93.14285714285714,-42.285714285714285,-45.85714285714285,-51.42857142857143,-51.285714285714285,-30.0,-35.857142857142854,-44.85714285714285,-39.42857142857143,9.571428571428571,10.142857142857142,12.571428571428571,12.142857142857142,71.4,1886,305.6,21.8,217811,Pirkanmaa
Ostrobothnia,2020-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1110064598496597,0.2301152256276112,0.1827469357649352,0.2320133361152904,0.3285714285714285,2.8285714285714287,2.257142857142857,1.4,9.057142857142855,13.914285714285716,10.157142857142857,9.585714285714284,-27.142857142857142,-31.142857142857142,-35.0,-34.285714285714285,-0.5714285714285714,1.0,-2.857142857142857,-6.285714285714286,0.0,-1.2857142857142858,21.285714285714285,15.0,-37.42857142857143,-37.85714285714285,-41.142857142857146,-38.42857142857143,-23.285714285714285,-30.428571428571427,-39.285714285714285,-34.857142857142854,6.0,7.857142857142857,9.571428571428571,9.428571428571429,76.7,-986,275.3,23.0,78711,Ostrobothnia
North Karelia,2020-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1157220043101441,0.1999839747789837,0.1771701628702585,0.244354388233653,0.3999999999999999,1.3142857142857145,1.4285714285714286,0.4857142857142857,8.971428571428572,11.528571428571428,10.042857142857144,10.385714285714286,-31.428571428571427,-30.428571428571427,-40.42857142857143,-42.285714285714285,-2.7142857142857144,-1.2857142857142858,-7.571428571428571,-11.857142857142858,16.285714285714285,34.142857142857146,14.571428571428571,9.142857142857142,-42.57142857142857,-21.857142857142858,-21.285714285714285,-27.571428571428573,-25.142857142857142,-31.0,-40.142857142857146,-36.0,5.142857142857143,6.714285714285714,8.285714285714286,8.571428571428571,64.8,-636,345.7,26.5,60515,North Karelia
Northern Ostrobothnia,2020-21,0.0,0.0,0.0,0.0,0.11406284430739377,0.0,0.11406284430739377,0.0,0.0867137175828684,0.24523416215023,0.2459635098435514,0.3454601861299907,1.2571428571428571,3.9,1.5571428571428572,1.8,9.542857142857144,14.585714285714284,9.8,8.342857142857143,-27.857142857142858,-30.857142857142858,-38.0,-39.142857142857146,-5.571428571428571,-6.428571428571429,-9.571428571428571,-14.0,72.14285714285714,55.85714285714285,72.28571428571429,47.42857142857143,-36.285714285714285,-41.142857142857146,-46.142857142857146,-48.142857142857146,-28.0,-36.285714285714285,-44.57142857142857,-40.42857142857143,8.0,10.571428571428571,11.857142857142858,12.428571428571429,69.5,-862,185.0,19.6,164619,Northern Ostrobothnia
Northern Savonia,2020-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0974871608967875,0.1766848575888128,0.1564392808971597,0.2274634651019731,-1.4,-0.5142857142857142,0.3142857142857141,-1.8000000000000005,9.6,10.257142857142856,9.057142857142855,8.985714285714286,-31.428571428571427,-31.571428571428573,-39.0,-40.285714285714285,-4.428571428571429,-2.2857142857142856,-8.0,-11.571428571428571,82.85714285714286,79.14285714285714,58.85714285714285,46.57142857142857,-42.57142857142857,-40.0,-40.0,-45.42857142857143,-27.0,-31.714285714285715,-41.285714285714285,-35.857142857142854,7.0,8.0,10.142857142857142,10.857142857142858,69.5,-543,162.0,25.3,98975,Northern Savonia
Päijänne Tavastia,2020-21,0.0,0.3284268908258033,0.4282533673701122,0.0,0.21751861293527897,0.0,0.0,0.0,0.147163634740598,0.2639714544132308,0.2500216052036383,0.3324728676988322,-0.6714285714285716,-0.6285714285714287,-0.5142857142857143,-1.242857142857143,10.471428571428572,14.3,9.842857142857143,9.514285714285714,-30.714285714285715,-29.714285714285715,-37.142857142857146,-37.285714285714285,-4.857142857142857,-3.142857142857143,-8.285714285714286,-10.142857142857142,6.714285714285714,0.0,24.571428571428573,14.428571428571429,-38.71428571428572,-36.42857142857143,-44.142857142857146,-43.142857142857146,-26.428571428571427,-32.0,-41.142857142857146,-36.0,7.714285714285714,7.714285714285714,10.285714285714286,9.714285714285714,69.5,-591,222.7,26.7,77081,Päijänne Tavastia
Satakunta,2020-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1503489220029847,0.2588441056288708,0.2456095847075962,0.3067720201314071,1.0142857142857142,1.6857142857142855,2.3857142857142857,0.9285714285714284,9.8,13.0,9.971428571428572,11.857142857142858,-25.714285714285715,-24.714285714285715,-32.0,-32.285714285714285,-1.8571428571428568,1.2857142857142858,-3.857142857142857,-6.285714285714286,28.0,22.428571428571427,33.142857142857146,31.857142857142858,-21.285714285714285,-24.714285714285715,-31.142857142857142,-32.57142857142857,-20.142857142857142,-26.285714285714285,-36.85714285714285,-30.285714285714285,6.571428571428571,7.285714285714286,9.428571428571429,9.0,71.2,-1141,63.9,27.2,86401,Satakunta
Uusimaa,2020-21,0.644197225909824,1.0575792807298048,1.3522393477148014,1.3747706785642633,1.4976127096515046,0.5054837740066191,0.3730994681288989,0.1622829791933237,0.0500211283335874,0.1253322220061177,0.0755185091893637,0.1501341367153567,-0.8285714285714285,0.8857142857142856,1.7142857142857142,0.9142857142857144,9.4,14.014285714285714,10.457142857142856,10.342857142857143,-39.71428571428572,-36.85714285714285,-45.42857142857143,-43.42857142857143,-10.857142857142858,-8.285714285714286,-14.571428571428571,-14.285714285714286,45.85714285714285,91.28571428571428,61.57142857142857,76.14285714285714,-54.0,-53.85714285714285,-59.85714285714285,-58.57142857142857,-36.285714285714285,-40.285714285714285,-49.42857142857143,-45.0,12.285714285714286,12.0,14.0,14.142857142857142,75.2,8144,601.0,17.6,836622,Uusimaa
Southwest Finland,2020-21,0.25527506760206736,0.1713899828920023,0.2057929229609363,0.33266479565779666,0.28695320736319047,0.13576118211790403,0.0,0.0,0.1654219880743244,0.2887209927465798,0.2522284737613336,0.3397555781502813,1.8142857142857145,3.857142857142857,3.3857142857142857,2.5571428571428574,9.757142857142856,13.6,8.814285714285715,11.342857142857143,-32.714285714285715,-30.428571428571427,-39.42857142857143,-37.285714285714285,-6.714285714285714,-3.571428571428572,-9.142857142857142,-10.857142857142858,75.71428571428571,107.14285714285714,95.85714285714286,108.0,-40.142857142857146,-39.57142857142857,-46.71428571428572,-44.85714285714285,-26.571428571428573,-31.285714285714285,-41.71428571428572,-35.714285714285715,9.142857142857142,8.857142857142858,11.857142857142858,10.857142857142858,72.4,887,74.1,23.3,202061,Southwest Finland
South Karelia,2020-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0580880194701324,0.1335066416161102,0.2210448262742509,0.1909937281344357,1.0571428571428572,-1.6,-2.585714285714286,-2.0285714285714285,15.385714285714286,8.885714285714286,12.614285714285714,9.328571428571427,-30.428571428571427,-34.142857142857146,-34.285714285714285,-42.0,1.5714285714285714,-7.0,-3.571428571428572,-9.428571428571429,0.0,9.285714285714286,0.0,0.0,-44.285714285714285,-46.142857142857146,-41.142857142857146,-47.42857142857143,-30.0,-27.857142857142858,-32.42857142857143,-42.142857142857146,4.857142857142857,6.0,6.714285714285714,8.428571428571429,67.4,-488,387.3,27.4,47995,South Karelia
Southern Ostrobothnia,2020-22,0.0,0.0,0.0,0.23128105183838518,0.0,0.0,0.0,0.0,0.0438786272147622,0.0945996706387005,0.1635097375191967,0.1595955633467479,-1.3142857142857145,-1.957142857142857,-1.1714285714285717,-1.0285714285714285,14.4,8.385714285714286,8.657142857142857,8.585714285714285,-24.428571428571427,-27.571428571428573,-29.142857142857142,-34.57142857142857,1.8571428571428568,-5.285714285714286,-3.7142857142857135,-6.571428571428571,6.571428571428571,23.857142857142858,11.285714285714286,24.714285714285715,-8.0,-27.285714285714285,-34.42857142857143,-37.85714285714285,-27.0,-20.857142857142858,-28.571428571428573,-37.57142857142857,5.571428571428571,7.0,8.285714285714286,10.285714285714286,73.8,-935,123.6,25.4,77419,Southern Ostrobothnia
Southern Savonia,2020-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0482672763175392,0.1188078056556151,0.1994379002500231,0.164755740816441,3.2285714285714286,-0.2714285714285714,0.2571428571428571,-0.4285714285714285,14.171428571428573,8.385714285714286,8.014285714285714,7.242857142857143,-23.285714285714285,-32.857142857142854,-29.714285714285715,-38.142857142857146,18.142857142857142,1.4285714285714286,5.714285714285714,-0.8571428571428571,45.71428571428572,52.142857142857146,44.42857142857143,46.0,-39.71428571428572,-45.285714285714285,-43.285714285714285,-46.42857142857143,-27.142857142857142,-21.857142857142858,-26.714285714285715,-36.57142857142857,3.857142857142857,5.428571428571429,5.857142857142857,7.571428571428571,68.9,-1228,143.5,30.9,50145,Southern Savonia
Kainuu,2020-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0394822018877376,0.0884243269859818,0.1864169974576036,0.1697471996542597,3.585714285714286,-0.0714285714285714,1.6714285714285713,0.7857142857142858,16.47142857142857,10.014285714285714,14.828571428571427,10.257142857142856,-29.428571428571427,-35.285714285714285,-30.571428571428573,-38.142857142857146,2.7142857142857144,-8.857142857142858,-8.428571428571429,-13.857142857142858,0.0,11.0,0.4285714285714285,3.0,-21.714285714285715,-38.57142857142857,-46.57142857142857,-50.0,-30.285714285714285,-26.285714285714285,-32.142857142857146,-42.42857142857143,2.571428571428572,5.714285714285714,7.142857142857143,5.428571428571429,68.3,-462,857.2,28.5,27218,Kainuu
Tavastia Proper,2020-22,0.0,0.0,0.0,0.25706003259737836,0.0,0.0,0.0,0.0,0.0973599852461475,0.211630169842877,0.320771494974566,0.2957028256927774,1.942857142857143,-2.2,-1.2285714285714284,-2.414285714285714,12.94285714285714,6.942857142857143,5.728571428571429,3.928571428571429,-19.285714285714285,-27.285714285714285,-24.714285714285715,-33.0,5.714285714285714,-2.2857142857142856,1.4285714285714286,-3.571428571428572,11.714285714285714,21.571428571428573,15.714285714285714,30.142857142857142,-36.285714285714285,-44.85714285714285,-42.42857142857143,-48.85714285714285,-28.0,-24.0,-29.0,-39.0,6.285714285714286,8.285714285714286,8.142857142857142,10.571428571428571,73.1,-69,197.5,25.3,64199,Tavastia Proper
Central Ostrobothnia,2020-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0386820553100431,0.0786985146461968,0.1765921583203414,0.144069391618352,2.1,-0.8571428571428571,0.0285714285714285,-0.9714285714285714,13.642857142857142,9.142857142857142,13.0,7.6571428571428575,-14.714285714285714,-17.428571428571427,-23.142857142857142,-24.571428571428573,7.571428571428571,1.5714285714285714,1.7142857142857142,-1.7142857142857142,0.0,0.0,0.0,0.0,-11.571428571428571,-12.857142857142858,-19.285714285714285,-18.142857142857142,-27.142857142857142,-22.0,-28.142857142857142,-37.57142857142857,2.7142857142857144,4.714285714285714,6.571428571428571,5.285714285714286,74.3,-450,189.5,23.4,28177,Central Ostrobothnia
Central Finland,2020-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0533024213638966,0.124051011821389,0.2276175813413256,0.1922897150464672,1.3571428571428572,-2.3714285714285714,-0.9714285714285714,-1.3142857142857145,14.900000000000002,8.985714285714286,8.128571428571428,5.8,-25.428571428571427,-30.142857142857142,-29.714285714285715,-35.714285714285715,4.285714285714286,-6.428571428571429,-5.0,-9.0,146.57142857142858,85.14285714285714,86.85714285714286,95.14285714285714,-40.42857142857143,-53.71428571428572,-50.85714285714285,-53.71428571428572,-30.857142857142858,-28.571428571428573,-34.285714285714285,-42.71428571428572,5.714285714285714,8.142857142857142,9.285714285714286,11.0,68.0,-262,94.5,23.2,106637,Central Finland
