South Karelia,Southern Ostrobothnia,Southern Savonia,Kainuu,Tavastia Proper,Central Ostrobothnia,Central Finland,Kymenlaakso,Lapland,Pirkanmaa,Ostrobothnia,North Karelia,Northern Ostrobothnia,Northern Savonia,Päijänne Tavastia,Satakunta,Uusimaa,Southwest Finland,Y-W
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-01
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-03
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-05
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-06
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-07
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-08
0.001987376944184104,0.0013194162935252474,0.001657224901057135,0.0012906471333361358,0.003026360609331724,0.0011505855476264093,0.0017411280461246017,0.002632484159176334,0.001775329454575716,0.001976695773611065,0.0017401897731824706,0.0017531600184706089,0.0013223178005416173,0.0014418445166435316,0.002689387947337703,0.00183626187300285,0.0,0.0028603596838425215,2020-09
0.008439997534451868,0.013733313909943357,0.007392439236206869,0.007569895565113548,0.02080239357135337,0.0078007027075901025,0.013499234057458098,0.010183115427539852,0.009987501752984143,0.0026347270226026293,0.008741830095725623,0.00834626646086036,0.00762076070663335,0.00786189436668846,0.012190409891803908,0.021035223568407688,0.009011640080589495,0.014241441960378937,2020-10
0.1284341093855677,0.1629345263266139,0.13259632259912874,0.18401682091903007,0.19189633822232657,0.169182022700963,0.13353931150668882,0.15484704995677867,0.2440242570837015,0.1757398063922756,0.12631077424083031,0.13108945469456135,0.09385050349623045,0.13978343077216349,0.18533634496689275,0.176582126320394,0.11947209545236598,0.21129603247362827,2020-11
0.19289578983700806,0.2962024629925173,0.2082949590367586,0.21214582761625234,0.2989005226871166,0.2957425570289504,0.20707256110027852,0.23081782453313263,0.24070546627489672,0.22433362693020098,0.17077707964109645,0.21201096236847106,0.16099362639170822,0.16409785042204245,0.2478100283854174,0.25928289896847034,0.13688178201749007,0.30026828185846727,2020-12
0.4186153528739441,0.37304207345807805,0.3897326130652705,0.3687638670801626,0.46461688723165906,0.3731608311035187,0.3881065521868936,0.4324068985930394,0.42527387444362696,0.3544286073901642,0.2501639254006061,0.47546647224724664,0.41523994563034744,0.4429947903574927,0.3869962249202063,0.38297468822301417,0.3287833028248395,0.37042518225450527,2020-13
0.5879342519172821,0.47207196353165876,0.5530858981536018,0.5657162537540023,0.6007635392266064,0.5257744158390364,0.5921909130714801,0.5535776458326214,0.5618355502424608,0.5802567373400688,0.47408673535393026,0.6903464725546072,0.7772614430689065,0.6123190534029388,0.6403372815518894,0.5878250141160518,0.479266788486773,0.5629462224911257,2020-14
0.47816930894923004,0.4285488484355439,0.4610427530896882,0.5059999776693065,0.5740150408973679,0.4587697858421328,0.5034131658951139,0.5166274514201141,0.4095621706954409,0.4930420636988455,0.3979563097940016,0.5366845689228666,0.6809309801061902,0.44964675101454676,0.5106949195446829,0.5376519071793314,0.39456197050035363,0.4920128983173426,2020-15
0.31379432801730245,0.338453400451439,0.31405988252050376,0.35080338499146824,0.45911743680423284,0.33218488165015225,0.33158961464353137,0.38288582010805555,0.24725157605911222,0.37081861203674243,0.2832520141154477,0.32009450280676194,0.5164388194054249,0.2725269496991018,0.3719417957874971,0.39898905099264137,0.2425220875816147,0.4056378833356045,2020-16
0.2599517207426725,0.22694368141242807,0.241135533989337,0.2551869149412391,0.37073023497850105,0.21398092782503203,0.2554478326140925,0.3260657906143301,0.23574541028533647,0.29463462964808645,0.23201333611529043,0.244354388233653,0.34546018612999074,0.2274634651019731,0.3324728676988322,0.30677202013140714,0.1501341367153567,0.33975557815028135,2020-17
0.1909937281344357,0.15959556334674793,0.16475574081644107,0.16974719965425972,0.2957028256927774,0.14406939161835206,0.19228971504646727,0.23862728681790185,0.1609851530097089,0.20190929557345083,0.1827469357649352,0.17717016287025855,0.24596350984355142,0.1564392808971597,0.2500216052036383,0.24560958470759625,0.07551850918936372,0.25222847376133367,2020-18
0.22104482627425093,0.16350973751919673,0.19943790025002317,0.18641699745760368,0.320771494974566,0.17659215832034147,0.22761758134132565,0.29345788657973554,0.18810427356418002,0.2535803074754918,0.23011522562761125,0.19998397477898378,0.24523416215023,0.17668485758881283,0.2639714544132308,0.25884410562887084,0.12533222200611774,0.28872099274657986,2020-19
0.13350664161611023,0.0945996706387005,0.11880780565561512,0.08842432698598186,0.21163016984287708,0.07869851464619683,0.124051011821389,0.1847888589260318,0.11722152121846499,0.1288282182317403,0.11100645984965977,0.11572200431014418,0.08671371758286844,0.09748716089678756,0.14716363474059807,0.1503489220029847,0.050021128333587454,0.16542198807432446,2020-20
