Central Finland,Central Ostrobothnia,Kainuu,Kymenlaakso,Lapland,North Karelia,Northern Ostrobothnia,Northern Savonia,Ostrobothnia,Pirkanmaa,Päijänne Tavastia,Satakunta,South Karelia,Southern Ostrobothnia,Southern Savonia,Southwest Finland,Tavastia Proper,Uusimaa,Y-W
0.32857142857142857,1.657142857142857,-1.4285714285714288,1.8142857142857143,-7.6000000000000005,-1.5285714285714285,-7.200000000000001,-0.5,2.757142857142857,2.6999999999999997,2.3857142857142857,4.0285714285714285,0.942857142857143,1.5,0.5428571428571428,4.971428571428571,2.728571428571428,4.7,2020-4
-0.9857142857142857,-0.5857142857142857,-4.542857142857143,0.6142857142857142,-8.171428571428573,-3.1142857142857143,-6.8999999999999995,-1.7714285714285716,0.9857142857142857,1.5714285714285714,1.1714285714285713,3.1571428571428575,-0.14285714285714285,0.3,-0.37142857142857144,3.814285714285714,1.4857142857142858,3.414285714285714,2020-5
-0.7857142857142857,0.7142857142857143,-1.1857142857142857,-0.09999999999999996,-4.8999999999999995,-2.757142857142857,-3.8285714285714287,-1.5142857142857142,1.6428571428571428,1.1,0.3571428571428572,2.3285714285714287,-0.6285714285714287,0.11428571428571425,-0.557142857142857,2.6,0.8714285714285716,2.2285714285714286,2020-6
2.257142857142857,2.942857142857143,2.142857142857143,2.3857142857142857,-0.5571428571428572,1.5714285714285714,0.6285714285714287,2.4714285714285715,3.6285714285714286,3.6571428571428575,2.8714285714285714,4.571428571428571,2.1142857142857143,3.1999999999999997,2.4,4.857142857142857,3.185714285714286,4.071428571428571,2020-7
2.7714285714285714,2.685714285714286,1.4428571428571428,3.442857142857143,-1.6714285714285713,2.585714285714286,-0.6142857142857144,2.957142857142857,3.5857142857142854,4.0285714285714285,3.9142857142857146,4.271428571428571,3.4428571428571426,3.257142857142857,3.3000000000000003,5.271428571428571,3.914285714285714,5.228571428571429,2020-8
-0.8285714285714285,-1.3571428571428572,-3.8857142857142857,1.0142857142857142,-7.471428571428571,-2.142857142857143,-6.542857142857143,-1.9000000000000001,-0.6142857142857144,0.5142857142857143,0.5857142857142856,1.3285714285714287,-0.31428571428571433,-0.7571428571428571,0.1857142857142857,2.157142857142857,0.6,2.3285714285714287,2020-9
1.9857142857142858,1.9714285714285715,1.2857142857142858,3.4714285714285715,-2.5714285714285716,0.42857142857142855,-1.1999999999999997,1.9714285714285715,2.3000000000000003,3.7714285714285714,3.357142857142857,4.257142857142857,3.0428571428571423,2.4714285714285715,2.9,5.1571428571428575,3.5,4.142857142857143,2020-10
2.157142857142857,2.7285714285714286,1.3714285714285714,3.757142857142857,-0.17142857142857146,1.657142857142857,0.8285714285714285,2.2285714285714286,3.0,3.6714285714285717,3.4857142857142853,3.6142857142857143,3.5,2.8714285714285714,3.257142857142857,4.257142857142857,3.4714285714285715,4.457142857142857,2020-11
3.7571428571428567,3.2142857142857144,1.5,3.9,-0.12857142857142861,2.442857142857143,1.3,3.6285714285714286,3.6857142857142855,4.6571428571428575,4.171428571428572,4.228571428571429,2.8857142857142857,3.8857142857142857,3.642857142857143,4.785714285714286,4.5285714285714285,4.757142857142857,2020-12
6.028571428571429,5.3999999999999995,4.242857142857143,8.128571428571428,2.2857142857142856,5.642857142857143,3.642857142857143,5.8428571428571425,5.0,7.6,8.385714285714286,6.485714285714286,7.6000000000000005,5.5,8.014285714285714,6.214285714285714,8.371428571428572,6.228571428571429,2020-13
2.242857142857143,3.1714285714285713,1.0571428571428572,4.314285714285714,-0.2857142857142857,1.1142857142857143,1.042857142857143,1.9428571428571428,4.785714285714286,5.685714285714285,5.2,6.1000000000000005,3.457142857142857,3.685714285714286,3.642857142857143,7.142857142857143,6.328571428571428,6.5,2020-14
7.428571428571429,5.928571428571429,4.285714285714286,8.957142857142857,2.557142857142857,6.428571428571429,3.5714285714285716,6.928571428571429,6.485714285714286,9.142857142857142,8.942857142857143,8.914285714285715,8.2,6.528571428571429,8.585714285714285,8.857142857142858,9.257142857142856,8.914285714285715,2020-15
6.442857142857143,5.485714285714286,4.8428571428571425,6.785714285714286,3.7714285714285714,4.742857142857143,5.257142857142857,4.971428571428571,7.728571428571429,8.142857142857142,7.1571428571428575,7.3428571428571425,5.785714285714286,6.871428571428572,6.585714285714286,8.6,8.057142857142857,8.857142857142858,2020-16
9.1,7.542857142857143,5.514285714285714,10.228571428571428,3.2857142857142856,6.571428571428571,5.371428571428572,7.071428571428571,8.342857142857143,10.171428571428573,9.585714285714285,10.385714285714286,8.342857142857143,8.985714285714286,9.514285714285714,11.857142857142858,10.342857142857143,11.342857142857143,2020-17
